FOODID;SPECDIET
370;EGGFREE
370;NAGLUFRE
370;SALTFREE
370;SOYAFREE
370;UNSWEET
371;GLUTFREE
371;MILKFREE
371;LACOVEGE
371;CHOLFREE
371;LACSFREE
371;LACVEGE
371;VEGAN
371;EGGFREE
371;NAGLUFRE
371;SALTFREE
371;SOYAFREE
371;UNSWEET
372;GLUTFREE
372;MILKFREE
372;LACOVEGE
372;CHOLFREE
372;LACSFREE
372;LACVEGE
372;VEGAN
372;EGGFREE
372;NAGLUFRE
372;SALTFREE
372;SOYAFREE
372;UNSWEET
373;GLUTFREE
373;MILKFREE
373;LACOVEGE
373;CHOLFREE
373;LACSFREE
373;LACVEGE
373;VEGAN
373;EGGFREE
373;NAGLUFRE
373;SOYAFREE
373;SALTFREE
373;UNSWEET
375;GLUTFREE
375;MILKFREE
375;LACOVEGE
375;LACSFREE
375;LACVEGE
375;VEGAN
375;EGGFREE
375;NAGLUFRE
375;SALTFREE
375;SOYAFREE
375;UNSWEET
376;GLUTFREE
376;MILKFREE
376;LACOVEGE
376;LACSFREE
376;LACVEGE
376;VEGAN
376;EGGFREE
376;NAGLUFRE
376;SALTFREE
376;SOYAFREE
376;UNSWEET
377;GLUTFREE
377;MILKFREE
377;LACOVEGE
377;LACSFREE
377;LACVEGE
377;VEGAN
377;EGGFREE
377;NAGLUFRE
377;SALTFREE
377;SOYAFREE
377;UNSWEET
378;GLUTFREE
378;MILKFREE
378;LACOVEGE
378;LACSFREE
378;LACVEGE
378;VEGAN
378;EGGFREE
378;NAGLUFRE
378;SALTFREE
378;SOYAFREE
378;UNSWEET
379;GLUTFREE
379;MILKFREE
379;LACOVEGE
379;LACSFREE
379;LACVEGE
379;VEGAN
379;EGGFREE
379;NAGLUFRE
379;SALTFREE
379;SOYAFREE
379;UNSWEET
380;GLUTFREE
380;MILKFREE
